Semester 5 GPA (excluding the non-credit Quran Translation V course)

Course | Credit hrs | Marks | Grade Point
--- | --- | --- | ---
Analysis of Algorithms | 3.0 | 78 | 3.3
Artificial Intelligence | 3.0 | 85 | 4.0
Human-Computer Interaction | 3.0 | 64 | 2.3
Theory of Automata & Formal Languages | 3.0 | 72 | 3.0
Computer Architecture | 3.0 | 80 | 3.7
Web Technologies (Elective) | 3.0 | 75 | 3.3
Quran Translation V (0.5 cr) | – | 90 | – (non-credit, not counted)

Calculated Semester GPA = 3.27 (rounded to two decimals)
